"Afrique du Sud","Afrique"
"Algérie","Maghreb"
"Allemagne","Europe"
"Andorre","France - Monaco - Andorre"
"Australie","Océanie"
"Autriche","Europe"
"Belgique","Europe"
"Brésil","US"
"Bulgarie","Europe"
"Canada","US"
"Chine","Asie"
"Chypre","Europe"
"Corée du Sud","Asie"
"Côte d'ivoire","Afrique"
"Danemark","Europe"
"Eire","Europe"
"Emirats Arabes Unis","Europe"
"Espagne","Europe"
"Estonie","Europe"
"États-Unis","US"
"Finlande","Europe"
"France métropolitaine","France - Monaco - Andorre"
"Grande-Bretagne","Europe"
"Grèce","Europe"
"Guadeloupe","DOM-TOM 1"
"Guyane","DOM-TOM "1
"Hong-Kong","Asie"
"Hongrie","Europe"
"Irlande","Europe"
"Israël","Asie"
"Italie","Europe"
"Japon","Asie"
"Lettonie","Europe"
"Lituanie","Europe"
"Luxembourg","Europe"
"Mali","Afrique"
"Malte","Europe"
"Maroc","Maghreb"
"Martinique","DOM-TOM 1"
"Mayotte","DOM-TOM 1"
"Mexique","US"
"Monaco","France - Monaco - Andorre"
"Nigeria","Afrique"
"Norvège","Europe"
"Nouvelle Calédonie","DOM-TOM 2"
"Nouvelle-Zélande","Océanie"
"Pays-bas","Europe"
"Pologne","Europe"
"Polynésie Française","DOM-TOM 2"
"Portugal","Europe"
"République Tchèque","Europe"
"Réunion","DOM-TOM 1"
"Roumanie","Europe"
"Royaume-Uni","Europe"
"Russie","Asie"
"Saint-Barthélémy","DOM-TOM 1"
"Saint-Martin","DOM-TOM 1"
"Saint-Pierre et Miquelon","DOM-TOM 1"
"Sénégal","Afrique"
"Singapour","Asie"
"Slovaquie","Europe"
"Slovénie","Europe"
"Suède","Europe"
"Suisse","Europe"
"Togo","Afrique"
"Tunisie","Maghreb"
"Turquie","Asie"
"Wallis et Futuna","DOM-TOM 2"
